BasinID,X,Y
44,483939,6989411.4
55,483908.4,6989422.2
61,483957.6,6989409
62,483958.8,6989409
92,483952.8,6989407.2
93,483936.6,6989413.8
94,483926.4,6989416.8
102,483922.8,6989422.2
121,483935.4,6989413.8
122,483937.8,6989414.4
123,483936,6989415
124,483927.6,6989415.6
125,483928.2,6989417.4
126,483920.4,6989420.4
127,483921.6,6989422.2
145,483921.6,6989420.4
161,483954,6989407.2
162,483938.4,6989410.2
163,483939,6989414.4
176,483951.6,6989407.2
177,483952.2,6989409
178,483928.8,6989419.2
179,483922.8,6989419.8
194,483949.2,6989407.2
195,483957.6,6989407.8
213,483958.8,6989407.8
214,483919.2,6989417.4
215,483918,6989418
216,483919.2,6989423.4
240,483950.4,6989406.6
241,483954,6989408.4
265,483940.8,6989410.2
266,483923.4,6989417.4
267,483914.4,6989421
287,483934.2,6989413.2
305,483952.8,6989405.4
328,483949.8,6989408.4
329,483916.8,6989416.8
343,483942.6,6989409.6
344,483939.6,6989412.6
345,483915.6,6989417.4
379,483955.2,6989406.6
380,483924.6,6989419.2
381,483912,6989424
414,483951.6,6989405.4
415,483937.2,6989416.2
416,483920.4,6989418
417,483919.2,6989422.2
447,483958.2,6989406
448,483941.4,6989411.4
449,483945.6,6989412
450,483930.6,6989412.6
474,483954.6,6989405.4
475,483928.8,6989412
508,483949.8,6989409.6
509,483958.8,6989411.4
510,483918,6989420.4
511,483918,6989423.4
550,483920.4,6989419.2
551,483927,6989419.8
585,483957,6989411.4
586,483936.6,6989412.6
587,483924.6,6989415
588,483915.6,6989421.6
621,483928.8,6989413.8
650,483955.8,6989407.8
651,483955.8,6989410.8
652,483913.2,6989421.6
694,483958.2,6989404.8
695,483940.8,6989412.6
696,483916.2,6989414.4
697,483923.4,6989415.6
698,483913.8,6989418.6
699,483918,6989421.6
739,483959.4,6989406
740,483961.8,6989406.6
741,483940.8,6989413.8
782,483959.4,6989404.8
783,483931.8,6989413.2
819,483944.4,6989411.4
853,483931.8,6989416.8
891,483961.8,6989408.4
926,483948.6,6989409.6
927,483912.6,6989418
965,483936,6989410.2
966,483912,6989421.6
1055,483964.2,6989408.4
1056,483930.6,6989418.6
1097,483937.2,6989417.4
1098,483931.2,6989420.4
1134,483964.2,6989407.2
1135,483933.6,6989412
1136,483925.2,6989413.2
1137,483913.2,6989416.2
1140,483913.2,6989425.2
1168,483957,6989404.8
1169,483962.4,6989410.2
1170,483911.4,6989417.4
1245,483955.8,6989404.2
1246,483931.8,6989418
1247,483922.8,6989424
1300,483960.6,6989407.2
1301,483908.4,6989419.2
1343,483912,6989416.2
1344,483910.2,6989418.6
1381,483963.6,6989405.4
1382,483944.4,6989413.8
1383,483909.6,6989419.8
1428,483963.6,6989409.6
1429,483942,6989415
1430,483935.4,6989416.8
1527,483962.4,6989412.6
1565,483910.8,6989416.2
1566,483922.2,6989425.8
1607,483959.4,6989413.8
1659,483939,6989406.6
1660,483915.6,6989413.2
1702,483943.2,6989407.2
1703,483943.2,6989413.8
1704,483936,6989418.6
1705,483938.4,6989418.6
1706,483923.4,6989425.2
1753,483940.2,6989416.8
1754,483907.2,6989419.2
1755,483921,6989425.8
1804,483961.2,6989413.2
1805,483916.8,6989424
1857,483963,6989407.8
1858,483962.4,6989413.8
1859,483963.6,6989413.8
1860,483924.6,6989424.6
1861,483925.8,6989424.6
1948,483940.2,6989406
1949,483954.6,6989412
1950,483964.8,6989412.6
1951,483958.2,6989413.8
2001,483948,6989404.8
2060,483946.8,6989405.4
2061,483933,6989410.2
2062,483963.6,6989412.6
2112,483940.2,6989415
2175,483962.4,6989404.8
2323,483966,6989406.6
2324,483912,6989427
2400,483947.4,6989412
2461,483945.6,6989414.4
2462,483914.4,6989427
2525,483934.2,6989409
2526,483947.4,6989410.2
2583,483930,6989422.8
2584,483914.4,6989425.8
2628,483913.2,6989413.2
2682,483936,6989407.8
2683,483966.6,6989409
2812,483918.6,6989415
2879,483964.8,6989400
3047,483964.8,6989404.8
3097,483954.6,6989402.4
3098,483968.4,6989406
3211,483965.4,6989401.2
3212,483967.8,6989403.6
3213,483945,6989409
3214,483936,6989421
3330,483967.2,6989411.4
3430,483950.4,6989402.4
3431,483919.8,6989413.8
3481,483940.8,6989404.2
3482,483922.8,6989413.2
3606,483939.6,6989404.2
3666,483949.2,6989411.4
3667,483954.6,6989413.8
3817,483965.4,6989410.8
3818,483966,6989414.4
3856,483945,6989416.2
3901,483966,6989402.4
3902,483967.2,6989412.6
3903,483918.6,6989413.8
4098,483938.4,6989403
4148,483939.6,6989403
4192,483936,6989404.2
4318,483951,6989412.6
4694,483960.6,6989400.6
4695,483937.2,6989419.8
4766,483945.6,6989404.8
4847,483961.8,6989400.6
4912,483963,6989402.4
4975,483919.2,6989427
5154,483968.4,6989407.8
5339,483958.2,6989402.4
5451,483924.6,6989410.2
5618,483924,6989407.2
5619,483925.8,6989408.4
5620,483924.6,6989409
5771,483951,6989401.2
5772,483922.8,6989410.8
5787,483923.4,6989409.6
5951,483944.4,6989404.8
5957,483949.2,6989401.2
5992,483952.2,6989412.6
5995,483961.2,6989403
6013,483918,6989427.6
6020,483952.8,6989413.8
6095,483953.4,6989400.6
6130,483928.2,6989409.6
6148,483956.4,6989400
